model,region,channel,mse,mean_bias_mse,amplitude_mse,pattern_mse,prediction_temporal_variance,target_temporal_variance
original,tropics,so_0,0.011978878092052005,0.002536636512158287,0.002017451881721142,0.007424789698172579,0.0159901038491042,0.024607578824991202
original,tropics,so_1,0.00892762207350975,0.0019282676479297454,0.0009612561971584264,0.006038098228421577,0.013396468414281177,0.01835951049824228
original,tropics,so_2,0.008228431213729279,0.0015035404314751558,0.0011851333363725894,0.005539757445881537,0.010662008762490287,0.016437824681763292
original,tropics,so_3,0.007746594811028586,0.001380392543897129,0.0012878497842189688,0.005078352482912488,0.007077570564180418,0.012635562756725062
original,tropics,so_4,0.00804592002165901,0.0017221355038884282,0.0015372936418922077,0.004786490875878374,0.004797116886644369,0.010147343224036553
original,tropics,so_5,0.008154153328030734,0.0026822227296382315,0.0011178679453788941,0.004354062653013609,0.0032642558425008327,0.006352146915831238
original,tropics,so_6,0.010174929449532771,0.0037540753442059094,0.0016068176384278412,0.0048140364668990175,0.00322493709287417,0.006796515894959555
original,tropics,so_7,0.010615153893059871,0.004705427840796316,0.0016398489794518297,0.004269877072811729,0.0030719868972666447,0.006156246942763223
original,tropics,so_8,0.006817401801518753,0.003172291405557342,0.0008452397850473411,0.0027998706109140722,0.0020892744001508507,0.0029107061562107456
original,tropics,so_9,0.004177937876954055,0.0018831893068847797,0.0005703831238266924,0.0017243654462425818,0.0014783631904932723,0.0014765667343314185
original,tropics,so_10,0.0023277978757046884,0.0010731948936643942,0.0003818996483106834,0.000872703333729608,0.0009706194110084761,0.0005422053251463009
original,tropics,so_11,0.0017338878158080124,0.000807833061035479,0.0003522672973976323,0.0005737874573749055,0.0007939414062756271,0.00023677657429338705
original,tropics,so_12,0.0013354912887822308,0.0007001271121006028,0.0003548599311432688,0.000280504245538367,0.0005949486932453232,6.925529047844299e-05
original,tropics,so_13,0.0009270443218555996,0.0005021813950593706,0.0002792266800135245,0.0001456362467827052,0.00041015000262630566,2.330102710265994e-05
original,tropics,so_14,0.0008221695895845992,0.00035083937946572775,0.00037084765374965917,0.00010048255636921229,0.00046576099374001114,9.133427873695678e-06
original,tropics,so_15,0.0011599146392503948,0.000501164461810967,0.000543023703765408,0.00011572647367401982,0.0006529843861615991,8.688606102678689e-06
original,tropics,so_16,0.002165611014578024,0.0010001935720883096,0.0008880264893422778,0.00027739095314743633,0.0011257372885524382,4.556883010914709e-05
original,tropics,so_17,0.004766396590513689,0.003142527372402037,0.0010667469225440216,0.0005571222955676317,0.0015162696090674044,0.00011409199581429226
original,tropics,so_18,0.003602857666389727,0.0022749907076847395,0.000890597257498122,0.0004372697012068464,0.0012378605759159342,5.731852015110199e-05
original,tropics,zos,0.0,0.0,0.0,0.0,0.0062609109913306146,0.0062609109913306146
original,extratropics,uo_0,0.07391470100371801,0.005220467905315634,0.00848828578790804,0.060205947310494334,0.18364285479215642,0.24460488157600485
original,extratropics,uo_1,0.05877467224797326,0.00427038630157114,0.0047835118347507284,0.049720774111651406,0.19650006630177783,0.23785014363171958
original,extratropics,uo_2,0.05692701705601963,0.003971701078269939,0.0046205050197164815,0.0483348109580332,0.21682301521224878,0.25700429049713436
original,extratropics,uo_3,0.055726815751889286,0.003874360200571535,0.004522658939706279,0.04732979661161148,0.22834730866341174,0.26804478326842607
original,extratropics,uo_4,0.05037507903057464,0.003650702622186994,0.004019931832846799,0.04270444457554084,0.21158807115832057,0.24704369865260617
original,extratropics,uo_5,0.05132807614861239,0.003809438347383832,0.004035946587854952,0.0434826912133736,0.2160390038736291,0.25082733526608536
original,extratropics,uo_6,0.06680265638403556,0.004888948369487086,0.005434981712445753,0.05647872630210272,0.27292051503296083,0.3195363670848186
original,extratropics,uo_7,0.10197558084944873,0.007098777444226514,0.008499824324386677,0.08637697908083554,0.397991383512541,0.46912785653576305
original,extratropics,uo_8,0.12193086291360662,0.008915974324863097,0.0108693949624816,0.10214549362626194,0.4440470090314929,0.5293324356782443
original,extratropics,uo_9,0.12687686966842304,0.010053716947473552,0.011201958878850985,0.10562119384209848,0.4325576162675334,0.5194426717356754
original,extratropics,uo_10,0.13284619575850876,0.011367577965847121,0.013107926720536175,0.10837069107212545,0.40387197127568114,0.49843164849546145
original,extratropics,uo_11,0.14227484666622942,0.01341268676807407,0.014675970347319267,0.1141861895508361,0.3831456217991717,0.4834767867999506
original,extratropics,uo_12,0.15901786816192112,0.01634416765950844,0.01733274986137521,0.1253409506410375,0.3589528266372766,0.46837345806845776
original,extratropics,uo_13,0.18885846816367868,0.02056631011241566,0.02046097084187786,0.14783118720938515,0.34078350991172046,0.4608873569765841
original,extratropics,uo_14,0.2465713444007428,0.02729277532587405,0.026283476201856858,0.19299509287301186,0.3601020992024145,0.5123772652655655
