reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
A-s2718,D-s2718,tropics,5,zos,99,9,4000,0.01712497214213636,0.016497207655201757,-0.0006277644869346032,-0.0007415339194609668,-0.0005137037258068084,3.6657839891603428,3.002732059216428,4.326307464483028
A-s2718,D-s2718,tropics,10,so,99,9,4000,0.07367258350650022,0.06536623462412568,-0.00830634888237454,-0.009121681744492885,-0.007538167643893895,11.274681145994647,10.13217226346413,12.505970992425137
A-s2718,D-s2718,tropics,10,sst,99,9,4000,0.025686496029811802,0.025692213812559962,5.7177827481602606e-06,-9.392723782168377e-05,0.00010552429218352432,-0.022259878270380895,-0.41080607178233963,0.3640040151437495
A-s2718,D-s2718,tropics,10,thetao,99,9,4000,0.0633176477743457,0.05380046224346301,-0.009517185530882696,-0.010263421962031645,-0.008849683644765596,15.030857691998401,14.010772856322253,16.154869525375897
A-s2718,D-s2718,tropics,10,ts,99,9,4000,0.0686905163767108,0.05986332085069507,-0.008827195526015727,-0.009561921463275728,-0.008158436779692376,12.850675743367312,11.81259769986971,13.960422086966089
A-s2718,D-s2718,tropics,10,uo,99,9,4000,0.5157879482637335,0.4748240506789787,-0.04096389758475483,-0.044298177055216194,-0.03791167397388766,7.942003632044747,7.404241226262419,8.506068096192482
A-s2718,D-s2718,tropics,10,vo,99,9,4000,0.5084955374949789,0.4736242169226743,-0.034871320572304576,-0.03573763318127388,-0.033949589018212885,6.857743677376704,6.660509422456432,7.033937789712152
A-s2718,D-s2718,tropics,10,zos,99,9,4000,0.020730492289032173,0.020155349783759803,-0.0005751425052723698,-0.0008088843715856024,-0.0003659823060273032,2.7743793888419077,1.740366194540095,3.9601313558033846
A-s2718,D-s2718,tropics,15,so,99,9,4000,0.07396544400996426,0.0661879432888508,-0.007777500721113453,-0.008582442079901994,-0.0070106998125441175,10.515046350652213,9.386955711716157,11.71028799135648
A-s2718,D-s2718,tropics,15,sst,99,9,4000,0.029661310871594897,0.029813244922645612,0.00015193405105071514,7.544304830447298e-07,0.0002937613963550467,-0.5122297248036256,-0.9979381965668832,-0.0025385976056859234
